time,connect,request 
0,24.337890625,5026.049072265625 
10,24.337890625,5205.16796875 
20,24.337890625,5205.16796875 
30,24.337890625,5205.16796875 
40,24.337890625,5218.85888671875 
50,24.337890625,5218.85888671875 
60,24.337890625,5218.85888671875 
70,24.337890625,5218.85888671875 
80,24.337890625,5218.85888671875 
90,24.337890625,5218.85888671875 
100,24.337890625,5218.85888671875 
110,24.337890625,5218.85888671875 
120,24.337890625,5218.85888671875 
130,24.337890625,5218.85888671875 
140,24.337890625,5218.85888671875 
150,24.337890625,5218.85888671875 
160,24.337890625,5218.85888671875 
170,24.337890625,5218.85888671875 
180,24.337890625,5218.85888671875 
190,24.337890625,5218.85888671875 
200,24.337890625,5218.85888671875 
210,24.337890625,5218.85888671875 
220,24.337890625,5218.85888671875 
230,24.337890625,5218.85888671875 
240,24.337890625,5218.85888671875 
250,24.337890625,5218.85888671875 
260,24.337890625,5218.85888671875 
270,24.337890625,5218.85888671875 
280,24.337890625,5218.85888671875 
290,24.337890625,5218.85888671875 
300,24.337890625,5218.85888671875 
309,24.337890625,5218.85888671875 
