time,connect,request 
0,0.990032795710287,5003.109111522708 
10,1.2400315699671989,5004.686769506857 
20,0,5010.521868800667 
30,0,5010.817158541919 
40,0,5010.427766470766 
50,0,5010.5115563191775 
60,0,5010.903672153089 
70,0,5011.085306984469 
80,0,5010.962375018909 
90,0,5011.141958767069 
100,0,5011.6665270205585 
110,0,5011.327800738735 
120,0,5011.150976186439 
130,0,5011.10181022925 
140,0,5011.13980899206 
150,0,5011.0323244885485 
160,0,5011.114550910679 
170,0,5009.7849625101035 
180,0,5009.809585043258 
190,0,5010.581549425441 
200,0,5012.2234476924405 
210,0,5011.455374467212 
220,0,5011.2190149821745 
230,0,5011.200678091416 
240,0,5011.105666237338 
250,0,5011.083827159733 
260,0,5005.451999665561 
270,0,0 
280,0,0 
290,0,0 
300,0,0 
309,0,0 
