time,connect,request 
0,0.8005104585143059,1.3238390971088172 
10,1.0436686417701215,2.474952242192013 
20,0,2.7821921847337046 
30,0,2.431883316022512 
40,0,2.542036227435494 
50,0,2.9339297327418485 
60,0,2.516134166716114 
70,0,2.694334549469974 
80,0,2.7183544938913453 
90,0,2.827816962697496 
100,0,2.8692986612724334 
110,0,3.004359533414578 
120,0,2.784098543598166 
130,0,2.8879524743027796 
140,0,2.7749159288919585 
150,0,2.7182512602115367 
160,0,2.9695705244547064 
170,0,2.5700271554417022 
180,0,2.654603488068917 
190,0,3.4063271200266967 
200,0,3.353816384372128 
210,0,3.2374270016882245 
220,0,3.1454580289649683 
230,0,2.8572017419882783 
240,0,3.3127627502544112 
250,0,2.956025186374311 
260,0,2.362574413648131 
270,0,0 
280,0,0 
290,0,0 
300,0,0 
309,0,0 
