time,session 
0,5017.279052734375 
10,5025.3310546875 
20,5027.35595703125 
30,5032.806884765625 
40,5066.463134765625 
50,5068.48681640625 
60,5089.511962890625 
70,5099.962890625 
80,5111.64599609375 
90,5115.31005859375 
100,5152.5791015625 
110,5153.996826171875 
120,5167.02392578125 
130,5196.0009765625 
140,5201.594970703125 
150,5232.9189453125 
160,5288.94189453125 
170,5288.94189453125 
180,5288.94189453125 
190,5288.94189453125 
200,5288.94189453125 
210,5288.94189453125 
220,5288.94189453125 
230,5288.94189453125 
230,5288.94189453125 
