time,size_rcv,size_sent 
0,668.12109375,1213.62890625 
10,4317.0984375,3108.1734375 
20,6686.83125,3468.403125 
30,6688.503125,3469.2703125 
40,6685.49375,3467.709375 
50,6687.3328125,3468.66328125 
60,6687.6671875,3468.83671875 
70,6686.1625,3468.05625 
80,6686.1625,3468.05625 
90,6686.9984375,3468.48984375 
100,6685.6609375,3467.79609375 
110,6686.496875,3468.2296875 
120,6686.496875,3468.2296875 
130,6688.0015625,3469.01015625 
140,6686.1625,3468.05625 
150,6686.1625,3468.05625 
160,6686.496875,3468.2296875 
170,6686.1625,3468.05625 
180,6686.1625,3468.05625 
190,6688.3359375,3469.18359375 
200,6686.1625,3468.05625 
210,6686.1625,3468.05625 
220,6686.1625,3468.05625 
230,6364.828125,3301.3828125 
240,6685.159375,3467.5359375 
250,6119.396875,2359.01015625 
260,2564.5828125,417.4640625 
270,0,0 
280,0,0 
290,0,0 
300,0,0 
309,0,0 
