time,size_rcv,size_sent 
0,668.12109375,1213.62890625 
10,4985.21953125,4321.80234375 
20,11672.05078125,7790.20546875 
30,18360.55390625,11259.47578125 
40,25046.04765625,14727.18515625 
50,31733.38046875,18195.8484375 
60,38421.04765625,21664.68515625 
70,45107.21015625,25132.74140625 
80,51793.37265625,28600.79765625 
90,58480.37109375,32069.2875 
100,65166.03203125,35537.08359375 
110,71852.52890625,39005.31328125 
120,78539.02578125,42473.54296875 
130,85227.02734375,45942.553125 
140,91913.18984375,49410.609375 
150,98599.35234375,52878.665625 
160,105285.84921875,56346.8953125 
170,111972.01171875,59814.9515625 
180,118658.17421875,63283.0078125 
190,125346.51015625,66752.19140625 
200,132032.67265625,70220.24765625 
210,138718.83515625,73688.30390625 
220,145404.99765625,77156.36015625 
230,151769.82578125,80457.74296875 
240,158454.98515625,83925.27890625 
250,164574.38203125,86284.2890625 
260,167138.96484375,86701.753125 
270,167138.96484375,86701.753125 
280,167138.96484375,86701.753125 
290,167138.96484375,86701.753125 
300,167138.96484375,86701.753125 
309,167138.96484375,86701.753125 
