time,page 
0,5014.464111328125 
10,5023.301025390625 
20,5025.39599609375 
30,5031.137939453125 
40,5063.80712890625 
50,5066.619873046875 
60,5071.733154296875 
70,5097.85498046875 
80,5109.64794921875 
90,5113.48583984375 
100,5150.31884765625 
110,5152.072998046875 
120,5165.583984375 
130,5193.850830078125 
140,5199.511962890625 
150,5230.851806640625 
160,5254.213134765625 
170,5285.054931640625 
180,5285.054931640625 
190,5285.054931640625 
200,5285.054931640625 
210,5285.054931640625 
220,5285.054931640625 
230,5285.054931640625 
230,5285.054931640625 
