time,page 
0,5003.109111522708 
10,5004.686769506857 
20,5010.521868800667 
30,5010.817158541919 
40,5010.427766470766 
50,5010.5115563191775 
60,5010.903672153089 
70,5011.085306984469 
80,5010.962375018909 
90,5011.141958767069 
100,5011.6665270205585 
110,5011.327800738735 
120,5011.150976186439 
130,5011.10181022925 
140,5011.13980899206 
150,5011.0323244885485 
160,5011.114550910679 
170,5009.7849625101035 
180,5009.809585043258 
190,5010.581549425441 
200,5012.2234476924405 
210,5011.455374467212 
220,5011.2190149821745 
230,5011.200678091416 
240,5011.105666237338 
250,5011.083827159733 
260,5005.451999665561 
270,0 
280,0 
290,0 
300,0 
309,0 
