time,page 
0,5001.56689453125 
10,5000.923828125 
20,5000.923828125 
30,5000.923828125 
40,5000.923828125 
50,5000.923828125 
60,5000.923828125 
70,5000.8740234375 
80,5000.8740234375 
90,5000.8740234375 
100,5000.8740234375 
110,5000.8740234375 
120,5000.8740234375 
130,5000.8740234375 
140,5000.8740234375 
150,5000.8740234375 
160,5000.8740234375 
170,5000.8740234375 
180,5000.8740234375 
190,5000.8740234375 
200,5000.8740234375 
210,5000.8740234375 
220,5000.8740234375 
230,5000.8740234375 
240,5000.8740234375 
250,5000.8740234375 
260,5000.8740234375 
270,5000.8740234375 
280,5000.8740234375 
290,5000.8740234375 
300,5000.8740234375 
309,5000.8740234375 
