time,freemem@localhost,freemem@tsung_controller@ip-172-31-23-133 
10,15029.2890625,15571.75 
20,15029.2890625,15571.75 
30,15029.2890625,15571.75 
40,15029.2890625,15571.75 
50,15029.2890625,15571.75 
60,15029.2890625,15571.75 
70,15029.2890625,15571.75 
80,15029.2890625,15571.75 
90,15029.2890625,15571.75 
100,15029.2890625,15571.75 
110,15029.2890625,15571.75 
120,15029.2890625,15571.75 
130,15029.2890625,15571.75 
140,15029.2890625,15571.75 
150,15029.2890625,15571.75 
160,15029.2890625,15571.75 
170,15029.2890625,15571.75 
180,15029.2890625,15571.75 
190,15029.2890625,15571.75 
200,15029.2890625,15571.75 
210,15029.2890625,15571.75 
220,15029.2890625,15571.75 
230,15029.2890625,15571.75 
240,15029.2890625,15571.75 
250,15029.2890625,15571.75 
260,15029.2890625,15571.75 
270,15029.2890625,15571.75 
280,15104.25,15571.75 
290,15105.16796875,15571.75 
300,15105.7734375,15571.75 
309,15121.23046875,15571.75 
