time,freemem@localhost,freemem@tsung_controller@ip-172-31-23-133 
10,15029.2890625,15129.62109375 
20,14335.8515625,14453.30859375 
30,13716.49609375,13819.6484375 
40,13546.4921875,13547.83984375 
50,13513.03125,13520.09375 
60,13350.5234375,13366.91015625 
70,13270.88671875,13271.3046875 
80,13264.98046875,13263.38671875 
90,13256.078125,13256.3125 
100,13246.48046875,13246.515625 
110,13223.59375,13223.515625 
120,13221.23046875,13220.84765625 
130,13220.55859375,13220.84765625 
140,13211.43359375,13212.15625 
150,13210.078125,13210.60546875 
160,13209.265625,13208.7578125 
170,13207.7890625,13208.04296875 
180,13205.8671875,13205.19140625 
190,13204.578125,13204.05859375 
200,13203.96484375,13204.05859375 
210,13201.86328125,13201.39453125 
220,13192.66796875,13192.96484375 
230,13183.77734375,13184.078125 
240,13180.16015625,13180.41015625 
250,13179.5703125,13179.3125 
260,13179.5703125,13179.3125 
270,13179.5703125,13179.3125 
280,13179.5703125,13179.3125 
290,13179.5703125,13179.3125 
300,13179.5703125,13179.3125 
309,13179.5703125,13179.3125 
