time,load@tsung_controller@ip-172-31-23-133,load@localhost 
0,0.0, 
10,0.0,0.0 
20,0.0703125,0.0703125 
30,0.21875,0.21875 
40,0.26953125,0.26953125 
50,0.26953125,0.26953125 
60,0.5703125,0.5703125 
70,0.71875,0.71875 
80,0.71875,0.71875 
90,0.71875,0.71875 
100,0.71875,0.71875 
110,0.71875,0.71875 
120,0.9296875,0.9296875 
130,1.078125,1.078125 
140,1.140625,1.140625 
150,1.140625,1.140625 
160,1.140625,1.140625 
170,1.140625,1.140625 
180,1.140625,1.140625 
190,1.28125,1.28125 
200,1.28125,1.28125 
210,1.28125,1.28125 
220,1.28125,1.28125 
230,1.33984375,1.33984375 
240,1.66015625,1.66015625 
250,1.7109375,1.7109375 
260,1.7109375,1.7109375 
270,1.7109375,1.7109375 
280,1.7109375,1.7109375 
290,1.7109375,1.7109375 
300,1.7109375,1.7109375 
309,1.7109375,1.7109375 
