time,recvpackets@tsung_controller@ip-172-31-23-133,recvpackets@localhost 
10,33904, 
20,75821,78196 
30,79810,79849 
40,79862,79908 
50,79897,79908 
60,79932,79908 
70,79932,79908 
80,79932,79908 
90,79932,79960 
100,79932,79960 
110,79932,79960 
120,79932,79960 
130,79932,79960 
140,79932,79960 
150,79984,79960 
160,79984,79984 
170,79984,79984 
180,79984,79984 
190,79984,79984 
200,79984,79984 
210,79984,79984 
220,79984,79984 
230,79984,79984 
240,79984,79984 
250,79984,79984 
260,79984,79984 
270,79984,79984 
280,79984,79984 
290,79984,79984 
300,79984,79984 
309,79984,79984 
