time,recvpackets@tsung_controller@ip-172-31-23-133,recvpackets@localhost 
10,33904, 
20,75821.0,78196 
30,79810.0,79849.0 
40,79862.0,79908.0 
50,79897.0,79715.0 
60,79932.0,79858.0 
70,79772.0,79856.0 
80,79895.0,79721.0 
90,79822.0,79960.0 
100,79888.0,79772.0 
110,79702.0,79813.0 
120,79798.0,79771.0 
130,79924.0,79844.0 
140,79811.0,79843.0 
150,79984.0,79870.0 
160,79888.0,79984.0 
170,79853.0,79919.0 
180,79874.0,79858.0 
190,79870.0,79870.0 
200,79857.0,79941.0 
210,79776.0,79794.0 
220,79915.0,79892.0 
230,79869.0,79854.0 
240,79916.0,79936.0 
250,79854.0,79938.0 
260,71753.0,68496.0 
270,28075.0,21836.0 
280,1.0,1.0 
290,0.0,0.0 
300,0.0,0.0 
309,0.0,0.0 
