time,recvpackets@tsung_controller@ip-172-31-23-133,recvpackets@localhost 
10,33904, 
20,33904,78196 
30,33904,78196 
40,33904,78196 
50,33904,78196 
60,33904,78196 
70,33904,78196 
80,33904,78196 
90,33904,78196 
100,33904,78196 
110,33904,78196 
120,33904,78196 
130,33904,78196 
140,33904,78196 
150,33904,78196 
160,33904,78196 
170,33904,78196 
180,33904,78196 
190,33904,78196 
200,33904,78196 
210,33904,78196 
220,33904,78196 
230,33904,78196 
240,33904,78196 
250,33904,78196 
260,33904,68496 
270,28075,21836 
280,1,1 
290,0,0 
300,0,0 
309,0,0 
