time,sentpackets@localhost,sentpackets@tsung_controller@ip-172-31-23-133 
20,67932,70044.0 
30,42129.0,43552.0 
40,39954.0,39931.0 
50,39864.0,39952.0 
60,39929.0,39973.0 
70,39928.0,39882.0 
80,39861.0,39948.0 
90,39980.0,39911.0 
100,39886.0,39944.0 
110,39908.0,39854.0 
120,39887.0,39899.0 
130,39923.0,39963.0 
140,39922.0,39906.0 
150,39935.0,39992.0 
160,39992.0,39944.0 
170,39960.0,39927.0 
180,39923.0,39938.0 
190,39941.0,39935.0 
200,39974.0,39930.0 
210,39899.0,39891.0 
220,39949.0,39960.0 
230,39928.0,39936.0 
240,39970.0,39960.0 
250,39969.0,39930.0 
260,45891.0,45955.0 
270,19272.0,23953.0 
280,1.0,1.0 
290,0.0,0.0 
300,0.0,0.0 
309,0.0,0.0 
