time,sentpackets@localhost,sentpackets@tsung_controller@ip-172-31-23-133 
20,67932,44529 
30,42129,43552 
40,39954,39931 
50,39864,39931 
60,39864,39931 
70,39864,39882 
80,39861,39882 
90,39861,39882 
100,39861,39882 
110,39861,39854 
120,39861,39854 
130,39861,39854 
140,39861,39854 
150,39861,39854 
160,39861,39854 
170,39861,39854 
180,39861,39854 
190,39861,39854 
200,39861,39854 
210,39861,39854 
220,39861,39854 
230,39861,39854 
240,39861,39854 
250,39861,39854 
260,39861,39854 
270,19272,23953 
280,1,1 
290,0,0 
300,0,0 
309,0,0 
